Tm,R/G,RA/G,Playoffs,Year
ARI,4.28,3.98,0,2018
ATL,4.69,4.06,1,2018
BAL,3.84,5.51,0,2018
BOS,5.41,3.99,1,2018
CHC,4.67,3.96,1,2018
CHW,4.05,5.23,0,2018
CIN,4.3,5.06,0,2018
CLE,5.05,4,1,2018
COL,4.79,4.57,1,2018
DET,3.89,4.91,0,2018
HOU,4.92,3.3,1,2018
KCR,3.94,5.14,0,2018
LAA,4.45,4.46,0,2018
LAD,4.93,3.74,1,2018
MIA,3.66,5.02,0,2018
MIL,4.63,4.04,1,2018
MIN,4.56,4.78,0,2018
NYM,4.17,4.36,0,2018
NYY,5.25,4.13,1,2018
OAK,5.02,4.16,1,2018
PHI,4.18,4.49,0,2018
PIT,4.3,4.3,0,2018
SDP,3.81,4.73,0,2018
SEA,4.18,4.39,0,2018
SFG,3.72,4.31,0,2018
STL,4.69,4.27,0,2018
TBR,4.42,3.99,0,2018
TEX,4.55,5.23,0,2018
TOR,4.38,5.14,0,2018
WSN,4.76,4.21,0,2018
ARI,5.01,4.07,1,2017
ATL,4.52,5.07,0,2017
BAL,4.59,5.19,0,2017
BOS,4.85,4.12,1,2017
CHC,5.07,4.29,1,2017
CHW,4.36,5.06,0,2017
CIN,4.65,5.36,0,2017
CLE,5.05,3.48,1,2017
COL,5.09,4.67,1,2017
DET,4.54,5.52,0,2017
HOU,5.53,4.32,1,2017
KCR,4.33,4.88,0,2017
LAA,4.38,4.38,0,2017
LAD,4.75,3.58,1,2017
MIA,4.8,5.07,0,2017
MIL,4.52,4.3,0,2017
MIN,5.03,4.86,1,2017
NYM,4.54,5.33,0,2017
NYY,5.3,4.07,1,2017
OAK,4.56,5.1,0,2017
PHI,4.26,4.83,0,2017
PIT,4.12,4.51,0,2017
SDP,3.73,5.04,0,2017
SEA,4.63,4.77,0,2017
SFG,3.94,4.79,0,2017
STL,4.7,4.35,0,2017
TBR,4.28,4.35,0,2017
TEX,4.93,5.04,0,2017
TOR,4.28,4.84,0,2017
WSN,5.06,4.15,1,2017
ARI,4.64,5.49,0,2016
ATL,4.03,4.84,0,2016
BAL,4.59,4.41,1,2016
BOS,5.42,4.28,1,2016
CHC,4.99,3.43,1,2016
CHW,4.23,4.41,0,2016
CIN,4.42,5.27,0,2016
CLE,4.83,4.2,1,2016
COL,5.22,5.31,0,2016
DET,4.66,4.48,0,2016
HOU,4.47,4.33,0,2016
KCR,4.17,4.4,0,2016
LAA,4.43,4.49,0,2016
LAD,4.48,3.94,1,2016
MIA,4.07,4.24,0,2016
MIL,4.14,4.52,0,2016
MIN,4.46,5.49,0,2016
NYM,4.14,3.81,1,2016
NYY,4.2,4.33,0,2016
OAK,4.03,4.7,0,2016
PHI,3.77,4.91,0,2016
PIT,4.5,4.68,0,2016
SDP,4.23,4.75,0,2016
SEA,4.74,4.36,0,2016
SFG,4.41,3.9,1,2016
STL,4.81,4.4,0,2016
TBR,4.15,4.4,0,2016
TEX,4.72,4.67,1,2016
TOR,4.69,4.11,1,2016
WSN,4.71,3.78,1,2016
ARI,4.44,4.4,0,2015
ATL,3.54,4.69,0,2015
